"title","brand","description","starsBreakdown/3star","starsBreakdown/4star","starsBreakdown/5star","reviewsCount","price","price/currency","price/value","categoryPageData/productPosition"
"Ferrero Rocher, 24 Count, Premium Milk Chocolate Hazelnut, Valentine's Chocolate Gift Box, 10.6 oz","Ferrero Rocher","Ferrero Rocher's milk chocolate gift box offers a unique taste experience of contrasting layers: a whole crunchy hazelnut in the heart and a delicious, creamy hazelnut filling surrounded with milk chocolate, crispy wafers and gently roasted hazelnut pieces. And thanks to its signature golden wrapper, Ferrero Rocher is even more unique and special. The iconic original. Celebrate the moment with Ferrero Rocher. Since the 1940s, Ferrero has delighted consumers with premium, one-of-a-kind chocolate treats. What began as a local pasticceria in Italy’s Piemonte region is now one of the world’s most popular confectioners, satisfying cravings in over 100 countries worldwide. Thanks to a commitment to quality, freshness and a unique taste experience, Ferrero continues to delight chocolate lovers all over the world.","0.02","0.07","0.89","20021",,"$","11.39","7"
"HERSHEY'S NUGGETS Assorted Chocolate, Valentine's Day Candy Party Pack, 31.5 oz","HERSHEY'S","This HERSHEY'S NUGGETS candy assortment is filled with delicious assorted chocolate treats any chocolate lover will adore, and it includes scrumptious candies that are the perfect size for snacking. Dress your kitchen table up with a bowl of HERSHEY'S NUGGETS goodies, surprise your co-workers with a filled candy dish or drop a handful of these treats into a party bag for an instant, anytime gift. This chocolate variety pack includes HERSHEY'S SPECIAL DARK mildly sweet chocolate with almonds, milk chocolate, milk chocolate with almonds and extra creamy milk chocolate with almonds and toffee.","0.03","0.1","0.84","18891",,"$","10.69","16"
"LEGO Icons Flower Bouquet Building Decoration Set - Artificial Flowers with Roses, Home Accessories or Valentine Décor for Him and Her, Gift for Valentines Day, Botanical Collection for Adults, 10280","LEGO","Giving and receiving beautiful flowers is such a joy. If you’re looking for a flower gift with a difference, the LEGO Flower Bouquet (10280) is an inspired choice. Whether you’re treating a loved one to a Valentines Day gift, or are looking for your next creative project, this flower bouquet model building kit lets you relax, unplug and create something wonderful. When complete, the impressive flower display brings a touch of fun and color to any room. The adjustable stems make it easy to tailor the arrangement for any vase or container. Each detail of the bouquet is made from LEGO components – all customizable to create a unique display. Most of the flowers have petals that can be positioned in different ways so you can have fun designing different arrangements. Take the stems apart and recombine to adjust the height and shape of your flowers. Part of the LEGO Botanical Collection for adults, this set includes several elements made from a plant-based plastic, produced using sustainably sourced sugarcane. Contains 756 pieces.","0.01","0.05","0.92","19395",,"$","47.99","2"
"BodyRefresh Shower Steamers Aromatherapy - 8 Pack Shower Bombs with Essential Oils. Self Care Birthday Gifts for Women, Gifts for Women Men Mom, Valentines Day Gifts for Her Him","BodyRefresh",,"0.07","0.15","0.67","593",,"$","9.99","10"
"JoJowell Shower Steamers Aromatherapy - 21Pcs Shower Bombs Gifts for Women Essential Oil, Nasal Relief, Self Care, Birthday Gifts for Women, Gifts for Mom, Valentines Day Gifts for Her Him","JoJowell",,"0.1","0.15","0.63","816",,"$","21.99","11"
"ChunRun Valentines Day Gifts - I Hope Your Day Keychain - Perfect Gifts for Her, Girlfriend, Husband, Wife I Love You Romantic Presents Gift Ideas","ChunRun",,"0","0.49","0.51","2",,"$","9.99","44"
"LEGO Cherry Blossoms Gift for Valentine's Day, Buildable Floral Display for Creative Kids, White and Pink Cherry Blossom, Spring Flower Gift for Girls and Boys Aged 8 and Up, 40725","LEGO","Mark the arrival of spring and new beginnings with this LEGO Cherry Blossoms (40725) celebration gift for aspiring florists and nature lovers aged 8 and up. Featuring 2 buildable cherry blossom twigs that can be decorated with delicate buds in shades of white and pink. This set encourages flower-lovers to create customized LEGO blooms with beautiful spring flowers. As well as being a celebration gift for kids, the brick-built blossoms make a great gift for grown-ups, who will be delighted to receive these unique flowers on Valentine’s Day or Mother’s Day. Once complete, the set makes a beautiful piece of floral room decor that will add a touch of spring joy to any space. It can also be combined with other LEGO flowers (sold separately) to create a vibrant bouquet. Contains 430 pieces.","0.05","0.07","0.83","55",,"$","14.99","4"
"Body Restore Shower Steamers Aromatherapy 6 Packs - Valentines Day Gifts, Relaxation Birthday Gifts for Women and Men, Stress Relief and Effortless Self Care, Bloom Variety Scent Shower Bath Bombs","Body Restore",,"0.08","0.15","0.7","12655",,"$","14.39","15"
"40 Date Ideas Card Games for Couples Date Night - Unique Date Deck Scratch Off Cards, Valentines Day Gifts for Boyfriend - Romantic Newlywed and Wedding Anniversary Couples Gifts for Him and Her","Tryuunion",,"0.08","0.13","0.75","649",,"$","15.95","48"
"JOYIN 24 PCS Valentine's Day Heart Stress Balls 1.6""x1.6"" for Kids, Squishy Toys Slow Rising for School Carnival Reward, Valentine Party Present Fillers, Valentines Day Gifts, Relieve Stress Toys","JOYIN",,"0.06","0.13","0.77","721",,"$","21.99","52"
"LEGO Sunflowers Building Kit, Artificial Flowers for Home Décor, Gift for Valentine's Day, Flower Building Toy Set for Kids, Sunflower Gift for Girls and Boys Ages 8 and Up, 40524","LEGO","Sunflowers bring instant cheer and optimism to their surroundings, and now you can build your own model version of this beloved flower with the vibrant LEGO Sunflowers (40524) building kit. These artificial flowers make for great home décor as they brighten up the room and inspire creativity. Create an eye catching sunflower display or make a mixed bouquet by adding the LEGO Flower Bouquet (10280), LEGO Roses (40460) or LEGO Tulips (40461) flower building toy sets (sold separately). It also makes a great sunflower gift for Valentine's Day, Mother’s Day, anniversaries or an anytime treat for a friend or loved one. Contains 191 pieces.","0.02","0.07","0.72","1539",,"$","14.99","3"
"Hallmark Valentines Day Cards for Kids and Mailbox for Classroom Exchange, Minecraft (1 Box, 32 Valentine Cards, 35 Stickers, 1 Teacher Card)","Hallmark","Minecraft-loving kids will be thrilled to hand out these super fun Valentine's day cards to all their friends at their classroom exchange. Moms and dads will be thrilled with the convenience of the easy pop-up collection box. With a fun design Straight out of their favorite game, This Valentine's kit is sure to be a hit with the elementary or middle School set. The Hallmark brand is widely recognized as the very best for greeting cards, gift wrap, and more. For more than 100 years, Hallmark has been helping its customers make everyday moments more beautiful and celebrations more joyful.","0.03","0.1","0.84","3677",,"$","9.99","5"
"Ferrero Rocher Collection, 48 Count, Gourmet Assorted Hazelnut Chocolate and Coconut, Valentine's Chocolate, 18.2 oz","Ferrero Rocher","This Valentine's Day, revel in the irresistible delight that is the Ferrero Collection. You'll love this luxury gift box that's filled with 48 of our irresistible chocolates. An exquisite collection of delicious confections crafted from hazelnut milk chocolate, dark chocolate and white almond coconut truffles, the Ferrero Collection gift box features original, iconic Ferrero Rocher, lusciously layered Raffaello and delicious dark chocolate Rondnoir truffles. Each and every piece is made from the highest-quality ingredients and presented in an elegant diamond-cut premium chocolate gift box that makes a great romantic gift or Valentine's Day centerpiece. Perfect for sharing and gifting all season long, because there is something for everyone in this elegant box of assorted chocolates. Celebrate the moment with someone special and savor the variety of unique chocolate treats with this Ferrero Collection.","0.03","0.08","0.86","28226",,"$","29.29","41"
"Brach's Valentine's Day Tiny Conversation Hearts, Friendship Exchange, 1 oz Boxes, 24 Ct","Brach's","Brach’s Tiny Conversation Hearts are an iconic, heart-shaped favorite among candy fanatics who want to make it a classic Valentine’s Day. This bag of Valentine's candy hearts is a crunchy and flavorful candy delight that brings love and nostalgia together on Valentine's Day for old school candy fun. These boxes include delicious flavors including Wintergreen, Banana, Orange, Lemon, Cherry, and Grape. Each Valentine's Conversation Hearts Candy has a colorful saying imprinted on the front to add a sweet and silly spark to your holiday moments. These classic hearts are the perfect bulk Valentine's candy purchase to save on adding a special touch to your Valentine’s Day gifts for family or friends. Make your own Valentine's Day bags for school treats, party candy variety pack mix, or use them to make individual Valentines for a class candy exchange event. These tiny hearts go a long way, making one bag an unbeatable bulk candy buy – enough to share, gift, and enjoy. Add a timeless touch to Valentine’s Day with Brach’s Tiny Conversation Hearts Candy.","0.06","0.09","0.77","688",,"$","24.1","43"
"Hallmark Valentine's Day Paper Treat Sacks (30 Bags: Happy Valentine's Day, Hearts) for Classroom Parties, Valentines, Kids, Coworkers","Hallmark",,"0.05","0.1","0.83","128",,"$","9.99","45"
"grace & stella Under Eye Mask (Gold, 24 Pairs) Reduce Dark Circles, Puffy Eyes, Undereye Bags, Wrinkles - Gel Under Eye Patches - Gifts for Women - Valentines Day Gifts for Her - Vegan Cruelty Free","grace & stella",,"0.08","0.15","0.69","21545",,"$","21.95","49"
"I LOVE YOU Red Valentine Chocolate Dipped Oreo Cookies | Olde Naples Hand Decorated Cookies | Romantic Gift Basket 7pc Oreo Cookies Assortmentent","Olde Naples Chocolate",,"0.07","0.1","0.74","474",,,,"34"
"ORIENTAL CHERRY Valentines Day Gifts for Kids - 24 Pack Valentines Cards Keychain - Valentine Gift Exchange for Classroom School Party Favor Boys Girls Toddlers","ORIENTAL CHERRY",,"0.12","0.12","0.57","12",,"$","35.99","35"
